-1,-2
-7,-13
-5,+18
-16,-11
-2,-5
-11,-13
-17,+1
+14,+14
-8,-6
-5,-16
-7,-18
+8,+12
+1,+7
+13,+1
+6,-7
+7,-8
+15,+2
-5,-4
+15,-1
-16,-16
-1,-5
-16,-12
+19,-12
-6,-5
-19,-12
-2,-5
+6,-17
+16,+20
-11,+6
-19,+11
-17,-6
-8,-7
-5,-1
+8,+7
-10,-14
-5,-19
+10,-18
-13,+16
-4,-7
+5,-8
+18,+1
+8,+4
-18,-10
-4,+1
-6,+6
-14,+2
-5,-6
+8,+12
+5,+17
-18,+1
+6,+5
-7,+19
-12,-11
-5,+12
-1,-6
+16,-2
-19,-7
-2,+1
-13,-7
+4,-9
-5,+11
+2,-12
+2,-16
-10,+7
+17,+8
-1,-12
+17,-12
-5,-5
+9,+1
-10,-14
+12,-12
+20,+7
+17,+15
-12,-11
+9,-9
+16,-9
+14,-11
-20,+17
+3,-1
+15,-19
-2,+15
+12,-18
+1,+13
+17,-14
-13,-14
-2,-17
-6,+16
-8,+17
-3,-13
+18,+31
+21,+13
+11,-16
-20,+24
+18,-6
+7,+9
+19,+1
+17,-16
+17,-19
-15,+12
-8,-19
+19,+18
+1,+17
+9,+27
+11,+11
-15,+6
+19,+2
-14,+9
-2,+13
-17,+7
+11,+8
+16,+17
+14,+17
+16,+3
-3,+10
+14,+7
+15,+20
+2,+10
-19,-13
+3,-2
-10,+9
+3,-11
-11,-1
-13,-5
-16,-11
+10,+10
-7,+29
-12,-9
-6,-17
+3,-7
+13,-7
+7,-6
+17,-15
+17,-21
+3,+12
+7,+12
-19,+2
-2,+2
-10,-17
-3,-6
-9,+9
-11,-12
+16,+14
+6,-9
+8,-13
+15,-3
+16,+1
+7,-13
+4,+29
+8,+7
+5,-11
-12,+5
-6,+16
+8,-27
+12,+24
+5,-23
-11,-4
+17,-7
-1,-2
+5,+62
+12,-17
-19,+38
-7,+9
-11,+10
+9,+4
-12,+21
+5,+29
-3,-19
+8,-7
-13,-17
+12,+29
+10,+47
+3,+11
-7,-2
+18,-17
+3,+4
-11,+25
+6,+18
-2,+14
+14,-18
-4,-10
+16,+22
+12,-3
-3,+6
+13,+13
-18,+11
-13,+21
-1,+19
-10,-6
+15,-3
-3,+17
+6,-26
+19,+5
-10,+18
-10,-6
+6,+17
+8,-15
-5,-11
-4,-11
+17,-5
-5,-19
+18,-3
-2,+12
-9,-19
+7,-19
+8,+12
-7,-15
+4,-13
+13,+7
-15,+5
-4,-18
+8,-1
-19,-11
-3,-31
+13,+8
+13,+5
+6,+15
+3,-2
-7,+13
+14,-12
+6,-11
+20,+37
-4,+33
-17,+9
-18,+11
+20,-6
+1,-10
+19,-19
+14,-13
+10,+35
+10,+42
-5,-38
+7,+121
-19,+9
+10,-51
-17,-31
+18,+14
+9,+69
-11,+6
-11,+6
+18,+109
+18,-152
+15,-226
-11,+25
+10,-46
-8,-11
+19,+44
-5,-218
+7,-12
+6,+17
+11,+29
+18,-7
+4,+2
-17,+11
-18,-89
+8,+290
+15,-127
+22,-152
+6,+11
-10,-5
-1,-950
-24,-61027
-18,-6
+13,-7
+9,-2
+1,-13
-15,+14
-1,-8
+21,+18
+24,+18
+5,-31
+29,-12
+22,-11
+13,+19
-10,-16
-12,-20
-15,-2
+32,+10
+15,+19
+17,-12
-12,-21
+4,-13
-12,+4
-10,+4
+1,-17
+15,+2
+15,-3
-11,-12
-9,+20
+18,+1
+6,+11
+6,+8
+11,+20
+1,-13
+18,-38
-13,-2
-19,-8
-16,-5
-15,+16
-3,-7
+14,-22
+5,-7
+18,+6
-6,-14
-9,-9
+1,-14
-24,-4
-25,-18
-5,+17
+10,-10
+11,+14
+30,+10
+15,-7
-19,+10
-4,-6
-3,+125648
-17,-1
+15,-7
+31,-5
+20,-16
+18,-2
+8,-11
-4,-17
+10,+14
+15,-8
+16,-5
+9,-7
-16,+8
+8,+1
-11,+13
-7,+6
+8,+7
-10,+15
-24,-5
-1,+15
+16,-16
+16,-1
-1,-16
-16,+19
+11,-6
+4,-19
+3,-2
-15,+6
-7,+16
+46,-11
+8,-19
+18,-17
+14,-8
-10,-5
-11,+8
+14,-10
-21,-5
+24,+10
-12,-13
+22,-4
+19,+5
-10,+18
+17,+8
+15,-18
+9,-4
+9,-6
-20,-14
+19,-5
-13,+8
+20,+5
+12,-18
+17,+6
-10,-7
+17,-12
+4,-5
-14,-1
+17,+16
-12,-19
-16,-2
+19,-13
+14,+4
+17,-5
+9,+2
+18,+2
-20,-10
-11,+17
-5,-1
-7,+17
+8,-5
+5,+9
+19,-10
-3,+12
-14,+20
-1,+17
-13,-12
-9,+9
-3,+16
-11,+14
-6,-20
-19,+3
+4,+15
-1,-2
-2,+12
+17,+1
-19,+17
+8,-13
-14,-2
-16,-6
+7,-8
-27,-3
+1,+18
+23,+21
+5,+11
+4,-20
-3,+18
-2,+7
+23,+19
-20,+17
-20,+17
-19,-15
-19,-8
-2,+19
+16,+1
-9,+9
-26,+11
+7,-15
+23,+19
-18,-14
-16,-2
-9,-17
-27,+11
+2,+16
-51,+14
-11,+16
+25,-3
-12,+14
-9,+15
-32,+2
-58,-19
-18,+3
-11,-10
-8,+3
-27,-11
-12,-13
-20,-16
-16,+10
+11,-7
+17,-12
+5,-6
+41,+3
+72,+13
+29,+7
-215,+17
-9,+17
-5,+3
-18,+7
+17,-19
-8,-2
-8,-10
+14,-3
+15,-9
+21,-11
-5,+16
-30,+6
-19,+8
+7,+15
-55,+16
+17,+7
+41,+4
+278,+8
-1165,+5
-61530,-12
+16,-6
+7,+8
+14,+12
-6,+5
-11,-11
-21,+17
+16,-1
-13,+5
+7,+12
-24,-19
+10,-7
+2,-11
-18,+9
-11,-12
-7,+5
+19,-3
+6,+8
+4,-13
-19,+12
-17,+10
+15,+3
-21,-7
+17,+18
-1,+3
-4,-11
-15,+6
+4,-2
+13,+14
-23,-4
-20,+16
-6,+12
+7,-3
+9,+13
+4,-18
+11,-13
-9,-1
+11,-10
+13,+15
-6,-3
+21,+6
-22,+19
-49,-10
-14,-10
+11,+6
-19,+8
-3,-5
-22,-4
+26,+17
-5,-5
+7,+18
+21,-2
-14,-9
-3,+7
-16,+8
+22,-7
+24,+4
-8,+13
-14,-15
+46,-4
-4,+8
+13,-19
-4,-3
+60,+13
+1,+13
+14,+6
+11,+3
+7,-7
-19,+14
-43,+6
+10,+20
+5,-4
+31,-17
+27,-18
-185,+20
-38,+1
-7,+19
-12,+14
-19,+10
-18,+10
+19,-5
-11,+7
+12,-19
+3,+10
-1,-17
+10,+18
+2,+9
-21,-11
+22,-11
+10,+18
+5,+18
+14,+15
+21,-11
-27,+10
-11,-8
+6,+19
-9,-5
-14,+7
+16,+6
+5,+11
+12,+18
-9,+4
+18,-17
+4,-18
+22,+8
+4,+15
-7,+22
-7,+6
-36,-10
-43,-1
-14,-24
-19,-18
+4,+13
-10,+9
+19,+1
-11,-15
-17,-1
-5,+21
-18,+24
-6,+5
-11,+29
